S_t_actual,E_S_t,D_S_t,S_t_5,S_t_95,R,sigma2_formular,mu_formular,mu_estimate,Date,date,err
17798.45,17910.614905246865,245989.1520865005,16958.093622829136,18902.14388166703,0.0130598734169355,0.0007665288457878,0.0129753285711806,0.0150027071044264,2020-11-19,1529.0,0.043566534205132346
17820.57,18087.30896275008,247295.4381791878,17132.12120423555,19081.328749067008,0.0162294448533482,0.0007556211395049,0.0160991552087554,0.0168814405305703,2020-11-20,1530.0,-0.006301947936301344
18687.45,18123.63464633551,322441.9700227544,17036.050241365825,19261.74215223468,0.0170064507664744,0.0009811782013372,0.0168634599828595,0.0170991185491283,2020-11-21,1531.0,-0.014968037652559829
18699.75,19033.691301698567,332541.2078002347,17928.3521670969,20188.646728354823,0.0185280122059761,0.0009174875544987,0.0183584596997139,0.0196169800993212,2020-11-22,1532.0,0.03017080199088107
18422.28,19060.79469153201,292687.4640373095,18022.32229305584,20142.87817665072,0.019307460876857,0.0008052806036247,0.0191234367738566,0.0156088212338142,2020-11-23,1533.0,-0.01785806236439358
18398.91,18783.181692759503,284026.74507508887,17760.181534276046,19849.127980396664,0.0195905008912853,0.0008047225341905,0.0194010769712118,0.0136898571324922,2020-11-24,1534.0,-0.034659916770997556
19172.52,18737.826499489907,334030.6951824199,17630.467361629013,19895.809992925424,0.0184204661846765,0.000950914447737,0.0182528644698488,0.0152150457770409,2020-11-25,1535.0,-0.02088556837114308
18739.8,19499.22670618063,379324.7873262496,18319.82890549685,20733.86696817924,0.0170403633002145,0.0009971486365006,0.016896804872966,0.0206387058934131,2020-11-26,1536.0,0.022672736839502217
17151.44,18958.80986044476,563694.0932263618,17529.704475941886,20472.31659638889,0.0116868835550412,0.0015670433775257,0.011619119388366,0.0129922764601338,2020-11-27,1537.0,-0.040524803155883804
17138.87,17200.963128633455,372744.9553552109,16035.256279119054,18428.196684346905,0.0028874035435775,0.0012590205626216,0.0028832430008188,-0.0026769308198996,2020-11-28,1538.0,-0.10537714969966161
17732.42,17096.253238026315,400832.6292817707,15888.819398118174,18370.250412016976,-0.0024865561133076,0.0013704511494292,-0.0024896527282963,-0.0035076566648889,2020-11-29,1539.0,-0.003622941806166624
18191.6,17639.993744876854,447052.8855939016,16365.678674851646,18986.25617431017,-0.0052122753196204,0.0014356555788742,-0.0052259066139616,0.0002101458730243,2020-11-30,1540.0,0.035875913269237
19709.73,18073.647441479723,605687.2698390029,16596.12647321442,19646.281081478097,-0.006483902379135,0.0018524841860726,-0.006505014181557,-0.0023202435966454,2020-12-1,1541.0,0.030322030779213693
18792.52,19703.18836243983,808144.6963654294,17999.80862970801,21522.960256487662,-0.0003318988925861,0.0020795265378732,-0.0003319539832135,0.0068567499970144,2020-12-2,1542.0,0.08300887726621708
