S_t_actual,E_S_t,D_S_t,S_t_5,S_t_95,R,sigma2_formular,mu_formular,mu_estimate,Date,date,err
1282.35,1286.921041307507,96.94469614684586,1267.7299335030968,1306.326200693274,0.0030170619286131,5.853391058792119e-05,0.0012202081485416,0.0012202081485416,2016-11-8,57.0,-0.01920157798527522
1281.4,1285.282504609013,96.66477810218817,1266.1191046334727,1304.6596102111318,0.0022868207657917,5.851380772892203e-05,0.0010634793910571,0.0010634793910571,2016-11-9,58.0,-0.0035645816723259838
1267.5,1283.2551223051123,114.10160158830148,1262.445210429152,1304.317685728662,0.0014477308452571,6.928682839152934e-05,0.0013525055953799,0.0013525055953799,2016-11-10,59.0,-0.0030298927805625375
1236.45,1267.1038212015858,205.4830552820576,1239.2386309485414,1295.4297879775916,-0.0003125670993405,0.0001279746126338,-0.0004442892560561,-0.0004442892560561,2016-11-11,60.0,-0.012430076769319509
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-11-12,61.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-11-13,62.0,0.0
1213.6,1232.6614467664797,247.24614167524263,1202.12778701943,1263.765011367827,-0.0030640569643096,0.0001627071227133,-0.0030834632379732,-0.0030834632379732,2016-11-14,63.0,-0.024791800074071446
1226.95,1205.6891028756531,229.94068113679,1176.239517499006,1235.680562380795,-0.0065185375118217,0.0001581651495979,-0.0065907565225299,-0.0065907565225299,2016-11-15,64.0,-0.015706531613776775
1229.2,1217.1869204089992,214.1956825468457,1188.751944359662,1246.1219024909446,-0.0079571943363632,0.0001445655345886,-0.0066885496223871,-0.0066885496223871,2016-11-16,65.0,0.017328250641303167
1226.75,1219.4504243624367,214.921990418256,1190.9672380382772,1248.434380944171,-0.0079316430504094,0.0001445177440842,-0.0062475659901743,-0.0062475659901743,2016-11-17,66.0,0.009773087854702989
1211.0,1217.6058318246105,238.747924706766,1187.600046663907,1248.1687386032906,-0.0074539785411775,0.0001610242183757,-0.0066251943732432,-0.0066251943732432,2016-11-18,67.0,0.005950336774047882
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-11-19,68.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-11-20,69.0,0.0
1214.25,1202.6668114018896,200.20780456427184,1175.170749418144,1230.6358713127124,-0.0068812457457558,0.0001384077138511,-0.0063656339479678,-0.0063656339479678,2016-11-21,70.0,-0.005454856998026836
1212.25,1206.6044196009473,201.8732573838996,1178.9944380203842,1234.6897773114922,-0.006296545521147,0.000138649676161,-0.0060045849487241,-0.0060045849487241,2016-11-22,71.0,0.009539377062475096
1185.35,1205.96937321018,274.82816142328693,1173.8010264800637,1238.785211531073,-0.0051809666238976,0.0001889503255778,-0.0061058989885938,-0.0061058989885938,2016-11-23,72.0,0.004657109011386051
1186.1,1179.8402181262154,246.54152417065532,1149.3624587540476,1210.9116944275183,-0.0046482320612346,0.0001770945629521,-0.0073747272515871,-0.0073747272515871,2016-11-24,73.0,-0.017395177129269968
1187.7,1181.5075936065878,161.60841347632962,1156.7856762334195,1206.618159889737,-0.0038718543068982,0.00011576193958,-0.0045657640299967,-0.0045657640299967,2016-11-25,74.0,0.0052776172951559674
